Training on 40.96M total tokens.
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.02s/it]
Loaded pretrained model gpt2-small into HookedTransformer
Moving model to device:  cpu
Moving model to device:  cpu
Using Hugging Face token: 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
Batch [1/5000], Avg Reconstruction Loss: 1.306476, Avg L1 Loss: 20857.691406, Avg L0 Loss: 8457.578125, Avg Total Loss: 3.392246
Batch [177/5000], Avg Reconstruction Loss: 0.094801, Avg L1 Loss: 208.758575, Avg L0 Loss: 8.275513, Avg Total Loss: 0.115677
Batch [178/5000], Avg Reconstruction Loss: 0.095430, Avg L1 Loss: 205.109802, Avg L0 Loss: 10.621094, Avg Total Loss: 0.115941
Batch [179/5000], Avg Reconstruction Loss: 0.093697, Avg L1 Loss: 205.851883, Avg L0 Loss: 8.652344, Avg Total Loss: 0.114282
Batch [180/5000], Avg Reconstruction Loss: 0.092603, Avg L1 Loss: 206.765686, Avg L0 Loss: 7.864014, Avg Total Loss: 0.113280
Batch [181/5000], Avg Reconstruction Loss: 0.092234, Avg L1 Loss: 206.538910, Avg L0 Loss: 7.394287, Avg Total Loss: 0.112888
Batch [182/5000], Avg Reconstruction Loss: 0.093051, Avg L1 Loss: 203.377274, Avg L0 Loss: 9.610596, Avg Total Loss: 0.113388
Batch [183/5000], Avg Reconstruction Loss: 0.093679, Avg L1 Loss: 201.015793, Avg L0 Loss: 9.148804, Avg Total Loss: 0.113781
Batch [184/5000], Avg Reconstruction Loss: 0.094358, Avg L1 Loss: 203.814789, Avg L0 Loss: 8.589355, Avg Total Loss: 0.114739
Batch [185/5000], Avg Reconstruction Loss: 0.092168, Avg L1 Loss: 201.026108, Avg L0 Loss: 7.538330, Avg Total Loss: 0.112271
Batch [186/5000], Avg Reconstruction Loss: 0.092676, Avg L1 Loss: 201.748627, Avg L0 Loss: 7.412354, Avg Total Loss: 0.112850
Batch [187/5000], Avg Reconstruction Loss: 0.092322, Avg L1 Loss: 202.206299, Avg L0 Loss: 11.003906, Avg Total Loss: 0.112543
Batch [188/5000], Avg Reconstruction Loss: 0.092988, Avg L1 Loss: 199.095459, Avg L0 Loss: 7.861450, Avg Total Loss: 0.112898
Batch [189/5000], Avg Reconstruction Loss: 0.091857, Avg L1 Loss: 202.486862, Avg L0 Loss: 7.959961, Avg Total Loss: 0.112105
Batch [190/5000], Avg Reconstruction Loss: 0.093432, Avg L1 Loss: 200.167191, Avg L0 Loss: 13.007080, Avg Total Loss: 0.113448
Batch [191/5000], Avg Reconstruction Loss: 0.090531, Avg L1 Loss: 202.991470, Avg L0 Loss: 7.323608, Avg Total Loss: 0.110830
Batch [192/5000], Avg Reconstruction Loss: 0.092940, Avg L1 Loss: 195.756744, Avg L0 Loss: 8.523071, Avg Total Loss: 0.112516
Batch [193/5000], Avg Reconstruction Loss: 0.090749, Avg L1 Loss: 201.985382, Avg L0 Loss: 8.455811, Avg Total Loss: 0.110947
Batch [194/5000], Avg Reconstruction Loss: 0.091243, Avg L1 Loss: 203.376862, Avg L0 Loss: 8.244873, Avg Total Loss: 0.111580
Batch [195/5000], Avg Reconstruction Loss: 0.092578, Avg L1 Loss: 199.954254, Avg L0 Loss: 11.130981, Avg Total Loss: 0.112573
Batch [196/5000], Avg Reconstruction Loss: 0.091330, Avg L1 Loss: 198.645844, Avg L0 Loss: 8.128540, Avg Total Loss: 0.111195
Batch [197/5000], Avg Reconstruction Loss: 0.092039, Avg L1 Loss: 198.632874, Avg L0 Loss: 8.560791, Avg Total Loss: 0.111903
Batch [198/5000], Avg Reconstruction Loss: 0.091598, Avg L1 Loss: 196.795166, Avg L0 Loss: 7.162231, Avg Total Loss: 0.111278
Batch [199/5000], Avg Reconstruction Loss: 0.091569, Avg L1 Loss: 198.191803, Avg L0 Loss: 9.868530, Avg Total Loss: 0.111388
Batch [200/5000], Avg Reconstruction Loss: 0.090627, Avg L1 Loss: 198.767044, Avg L0 Loss: 7.360718, Avg Total Loss: 0.110504
Model checkpoint saved to models/sparse_autoencoder.pth
Repository 'charlieoneill/sparse-coding' already exists on Hugging Face.
/Users/charlesoneill/sparse-inference/wild/./charlieoneill_sparse-coding is already a clone of https://huggingface.co/charlieoneill/sparse-coding. Make sure you pull the latest changes with `repo.git_pull()`.
Upload file sparse_autoencoder.pth: 107MB [00:48, 2.62MB/s]                                                                               To https://huggingface.co/charlieoneill/sparse-coding
   160731c..e66de56  main -> main

Upload file sparse_autoencoder.pth: 100%|████████████████████████████████████████████████████████████| 99.1M/99.1M [00:51<00:00, 2.03MB/s]
Model 'sparse_autoencoder.pth' uploaded to Hugging Face repository 'charlieoneill/sparse-coding' with commit message 'Checkpoint at batch 200'.
Batch [201/5000], Avg Reconstruction Loss: 0.091328, Avg L1 Loss: 193.531509, Avg L0 Loss: 8.728271, Avg Total Loss: 0.110681
Batch [202/5000], Avg Reconstruction Loss: 0.089453, Avg L1 Loss: 200.677734, Avg L0 Loss: 7.583618, Avg Total Loss: 0.109521
Batch [203/5000], Avg Reconstruction Loss: 0.093262, Avg L1 Loss: 197.315704, Avg L0 Loss: 11.326782, Avg Total Loss: 0.112994
Batch [204/5000], Avg Reconstruction Loss: 0.091411, Avg L1 Loss: 196.347473, Avg L0 Loss: 8.299438, Avg Total Loss: 0.111046
Batch [205/5000], Avg Reconstruction Loss: 0.090272, Avg L1 Loss: 199.558640, Avg L0 Loss: 8.930420, Avg Total Loss: 0.110228
Batch [206/5000], Avg Reconstruction Loss: 0.091017, Avg L1 Loss: 196.339844, Avg L0 Loss: 8.671387, Avg Total Loss: 0.110651
Batch [207/5000], Avg Reconstruction Loss: 0.091347, Avg L1 Loss: 198.053406, Avg L0 Loss: 8.754150, Avg Total Loss: 0.111152
Batch [208/5000], Avg Reconstruction Loss: 0.089470, Avg L1 Loss: 201.736038, Avg L0 Loss: 8.276733, Avg Total Loss: 0.109644
Batch [209/5000], Avg Reconstruction Loss: 0.090053, Avg L1 Loss: 196.331482, Avg L0 Loss: 8.964844, Avg Total Loss: 0.109686
Batch [210/5000], Avg Reconstruction Loss: 0.090383, Avg L1 Loss: 196.694946, Avg L0 Loss: 10.206055, Avg Total Loss: 0.110052
Batch [211/5000], Avg Reconstruction Loss: 0.089810, Avg L1 Loss: 199.164673, Avg L0 Loss: 11.067871, Avg Total Loss: 0.109727
Batch [212/5000], Avg Reconstruction Loss: 0.091685, Avg L1 Loss: 197.950684, Avg L0 Loss: 9.392822, Avg Total Loss: 0.111480
Batch [213/5000], Avg Reconstruction Loss: 0.090329, Avg L1 Loss: 199.197144, Avg L0 Loss: 11.978149, Avg Total Loss: 0.110249
Batch [214/5000], Avg Reconstruction Loss: 0.090021, Avg L1 Loss: 198.338165, Avg L0 Loss: 7.501587, Avg Total Loss: 0.109855
Batch [215/5000], Avg Reconstruction Loss: 0.090361, Avg L1 Loss: 197.806381, Avg L0 Loss: 9.160156, Avg Total Loss: 0.110142
Batch [216/5000], Avg Reconstruction Loss: 0.088229, Avg L1 Loss: 196.571808, Avg L0 Loss: 8.294434, Avg Total Loss: 0.107886
Batch [217/5000], Avg Reconstruction Loss: 0.090281, Avg L1 Loss: 194.833984, Avg L0 Loss: 10.890503, Avg Total Loss: 0.109765
Batch [218/5000], Avg Reconstruction Loss: 0.089493, Avg L1 Loss: 195.696091, Avg L0 Loss: 8.575195, Avg Total Loss: 0.109062
Batch [219/5000], Avg Reconstruction Loss: 0.089027, Avg L1 Loss: 196.684006, Avg L0 Loss: 9.537231, Avg Total Loss: 0.108695
Batch [220/5000], Avg Reconstruction Loss: 0.089268, Avg L1 Loss: 200.857697, Avg L0 Loss: 9.310547, Avg Total Loss: 0.109354
Batch [221/5000], Avg Reconstruction Loss: 0.089909, Avg L1 Loss: 196.312805, Avg L0 Loss: 9.096680, Avg Total Loss: 0.109540
Batch [222/5000], Avg Reconstruction Loss: 0.090408, Avg L1 Loss: 197.864487, Avg L0 Loss: 9.603394, Avg Total Loss: 0.110195
Batch [223/5000], Avg Reconstruction Loss: 0.090036, Avg L1 Loss: 195.167206, Avg L0 Loss: 10.051270, Avg Total Loss: 0.109552
Batch [224/5000], Avg Reconstruction Loss: 0.087887, Avg L1 Loss: 196.984665, Avg L0 Loss: 8.694336, Avg Total Loss: 0.107585
Batch [225/5000], Avg Reconstruction Loss: 0.088387, Avg L1 Loss: 196.964447, Avg L0 Loss: 10.232666, Avg Total Loss: 0.108083
Batch [226/5000], Avg Reconstruction Loss: 0.089489, Avg L1 Loss: 195.405807, Avg L0 Loss: 10.368408, Avg Total Loss: 0.109029
Batch [227/5000], Avg Reconstruction Loss: 0.088197, Avg L1 Loss: 195.603088, Avg L0 Loss: 8.050293, Avg Total Loss: 0.107758
Batch [228/5000], Avg Reconstruction Loss: 0.087869, Avg L1 Loss: 195.079666, Avg L0 Loss: 8.778931, Avg Total Loss: 0.107377
Batch [229/5000], Avg Reconstruction Loss: 0.092149, Avg L1 Loss: 190.991974, Avg L0 Loss: 15.239868, Avg Total Loss: 0.111248
Batch [230/5000], Avg Reconstruction Loss: 0.091309, Avg L1 Loss: 204.429855, Avg L0 Loss: 18.467407, Avg Total Loss: 0.111752
Batch [231/5000], Avg Reconstruction Loss: 0.087897, Avg L1 Loss: 192.675461, Avg L0 Loss: 9.145142, Avg Total Loss: 0.107164
Batch [232/5000], Avg Reconstruction Loss: 0.089136, Avg L1 Loss: 192.622421, Avg L0 Loss: 10.395996, Avg Total Loss: 0.108399
Batch [233/5000], Avg Reconstruction Loss: 0.085831, Avg L1 Loss: 197.466949, Avg L0 Loss: 8.083984, Avg Total Loss: 0.105578
Batch [234/5000], Avg Reconstruction Loss: 0.087192, Avg L1 Loss: 194.659592, Avg L0 Loss: 9.956543, Avg Total Loss: 0.106658
Batch [235/5000], Avg Reconstruction Loss: 0.088962, Avg L1 Loss: 193.053085, Avg L0 Loss: 13.115845, Avg Total Loss: 0.108267
Batch [236/5000], Avg Reconstruction Loss: 0.087268, Avg L1 Loss: 193.968491, Avg L0 Loss: 9.635986, Avg Total Loss: 0.106664
Batch [237/5000], Avg Reconstruction Loss: 0.088641, Avg L1 Loss: 194.835663, Avg L0 Loss: 10.872314, Avg Total Loss: 0.108125
Batch [238/5000], Avg Reconstruction Loss: 0.086893, Avg L1 Loss: 193.071991, Avg L0 Loss: 9.250977, Avg Total Loss: 0.106200
Batch [239/5000], Avg Reconstruction Loss: 0.088386, Avg L1 Loss: 191.564148, Avg L0 Loss: 10.197632, Avg Total Loss: 0.107543
Batch [240/5000], Avg Reconstruction Loss: 0.086381, Avg L1 Loss: 195.439789, Avg L0 Loss: 9.089355, Avg Total Loss: 0.105925
Batch [241/5000], Avg Reconstruction Loss: 0.086598, Avg L1 Loss: 194.303223, Avg L0 Loss: 9.216309, Avg Total Loss: 0.106028
Batch [242/5000], Avg Reconstruction Loss: 0.086743, Avg L1 Loss: 190.841949, Avg L0 Loss: 10.533447, Avg Total Loss: 0.105827
Batch [243/5000], Avg Reconstruction Loss: 0.086936, Avg L1 Loss: 194.099701, Avg L0 Loss: 9.900879, Avg Total Loss: 0.106346
Traceback (most recent call last):
  File "/Users/charlesoneill/sparse-inference/wild/main.py", line 446, in <module>
    main(args)
  File "/Users/charlesoneill/sparse-inference/wild/main.py", line 367, in main
    train(
  File "/Users/charlesoneill/sparse-inference/wild/main.py", line 216, in train
    _, cache = transformer.run_with_cache(batch_tokens)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/transformer_lens/HookedTransformer.py", line 627, in run_with_cache
    out, cache_dict = super().run_with_cache(
                      ^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/transformer_lens/hook_points.py", line 513, in run_with_cache
    model_out = self(*model_args, **model_kwargs)
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/torch/nn/modules/module.py", line 1532, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/torch/nn/modules/module.py", line 1541, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/transformer_lens/HookedTransformer.py", line 568, in forward
    logits = self.unembed(residual)  # [batch, pos, d_vocab]
             ^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/torch/nn/modules/module.py", line 1532, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/torch/nn/modules/module.py", line 1541, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/transformer_lens/components.py", line 81, in forward
    einsum(
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/fancy_einsum/__init__.py", line 136, in einsum
    return backend.einsum(new_equation, *operands)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/fancy_einsum/__init__.py", line 54, in einsum
    return self.torch.einsum(equation, *operands)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/charlesoneill/miniconda3/envs/sparse-inference/lib/python3.12/site-packages/torch/functional.py", line 385, in einsum
    return _VF.einsum(equation, operands)  # type: ignore[attr-defined]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
